COUNTY,YEAR,PRODUCTION (Kgs),RAINFALL (mm),ALTITUTDE (M),TEMPERATURE (Degree Celsius)
YAMUGWE,2003,"142,229",1100,1630,13 - 24
GATHAMBA,2003,"20,231",1000,1750,13 - 24
GATHINJA,2003,"142,058",1100,1630,13 - 24
KAHUHIA,2003,"136,038",1100,1700,13 - 24
NGUTU,2003,"302,772",1000,1720,13 - 24
KEVOTE,2003,"35,711",1100,1700,13 - 24
KIANJUKI,2003,"33,254",1100,1700,13 - 24
NGAINDETHIA,2003,"23,166",1100,1750,13 - 24
KITHUNGURURU,2003,"294,464",1100,1700,13 - 24
KIVIUVI,2003,"306,114",1100,1750,13 - 24
KITHEGI,2003,"5,828",1100,1650,13 - 24
KITHIMU,2003,"11,319",1500,1590,13 - 24
MINAI,2003,"10,170",1550,1610,13 - 24
KITHANGARIRI,2003,"501,477",1500,1550,13 - 24
GITWARA,2003,"20,542",1600,1600,13 - 24
KIANYANGI,2003,"158,602",1600,1600,13 - 24
NGURWERI,2003,"206,407",1400,1400,13 - 24
GATUNDURI,2003,"536,036",1400,1420,13 - 24
KIHUMBU,2003,"397,593",1500,1430,13 - 24
MIRUNDI,2003,"391,192",1550,1610,13 - 24
THAMBO,2003,"128,808",1500,1550,13 - 24
KIRIMIRI,2003,"80,486",1600,1600,13 - 24
GACHAGORI,2003,"101,758",1550,1610,13 - 24
GACHUNGU,2003,"12,037",1500,1550,13 - 24
GAKWEGORI,2003,"112,123",1600,1600,13 - 24
KIAMICIRI,2004,"62,297",1200,1386,13 - 26
KIANGOTHE,2004,"296,266",1200,1531,13 - 26
KIMANDI,2004,"180,959",1400,1672,13 - 24
KIRINGA,2004,"299,698",1200,1558,13 - 26
KONYU,2004,"300,262",1200,1581,13 - 26
KANJUU,2004,"85,035",1200,1465,13 - 26
GITUTO,2004,"351,810",1500,1704,13 - 23
KIAMBUI,2004,"344,731",1200,1414,13 - 26
KIUNYU,2004,"644,424",1200,1414,13 - 26
NGUGUINI,2004,"425,024",1200,1383,13 - 26
CHEMA,2004,"140,490",1400,1684,13 - 24
KIAI,2004,,1400,1644,13 - 24
KIANGAI,2004,"427,669",1400,1644,13 - 24
KIANJEGE,2004,"466,698",1550,1446,13 - 26
KIBINGOTI,2004,"272,769",1200,1426,13 - 25
MUKANGU,2004,"315,040",1550,1650,13 - 26
RAGATI,2004,"332,319",1400,1704,13 - 24
THUNGURI,2004,"319,731",1400,1724,13 - 24
MBURI,2004,"166,572",1300,1495,13 - 25
RIANJUE,2004,"222,520",1200,1345,13 - 25
KIAMUTUIRA,2004,"25,926",1200,1560,13 - 25
GIKONGORO,2004,"269,888",1300,1444,13 - 25
GIKUI,2004,"153,467",1400,1628,13 - 24
KUIRI,2004,"101,833",1300,1432,13 - 26
